iter	Passed	Remaining
634	896	515
635	897	513
636	898	512
637	899	510
638	900	508
639	901	506
640	902	505
641	902	503
642	904	501
643	904	500
644	905	498
645	907	497
646	908	495
647	909	494
648	910	492
649	911	490
650	912	489
651	913	487
652	914	486
653	915	484
654	916	482
655	917	481
656	918	479
657	919	477
658	920	476
659	922	475
660	923	473
661	924	471
662	925	470
663	926	468
664	927	467
665	928	465
666	928	463
667	929	461
668	930	460
669	930	458
670	931	456
671	932	455
672	933	453
673	933	451
674	934	450
675	935	448
676	936	446
677	937	445
678	938	443
679	939	442
680	940	440
681	941	438
682	941	437
683	942	435
684	943	433
685	943	432
686	944	430
687	945	428
688	946	427
689	946	425
690	947	423
691	948	421
692	948	420
693	949	418
694	950	417
695	951	415
696	952	414
697	953	412
698	953	410
699	954	409
700	955	407
701	956	405
702	957	404
703	957	402
704	958	401
705	960	399
706	960	398
707	961	396
708	962	394
709	962	393
710	963	391
711	964	390
712	964	388
713	966	386
714	966	385
715	968	384
716	968	382
717	969	380
718	970	379
719	970	377
720	971	375
721	972	374
722	973	372
723	973	371
724	974	369
725	975	368
726	976	366
727	976	365
728	977	363
729	978	361
730	979	360
731	979	358
732	981	357
733	982	356
734	983	354
735	984	353
736	985	351
737	985	350
738	986	348
739	987	346
740	988	345
741	988	343
742	989	342
743	990	340
744	991	339
745	991	337
746	993	336
747	994	334
748	994	333
749	996	332
750	997	330
751	998	329
752	1000	328
753	1000	326
754	1001	325
755	1002	323
756	1003	322
757	1004	320
758	1005	319
759	1006	317
760	1007	316
761	1007	314
762	1008	313
763	1009	311
764	1011	310
765	1012	309
766	1013	307
767	1014	306
768	1015	305
769	1016	303
770	1017	302
771	1019	301
772	1021	299
773	1022	298
774	1023	297
775	1024	295
776	1026	294
777	1027	293
778	1028	291
779	1030	290
780	1030	289
781	1031	287
782	1032	286
783	1034	284
784	1035	283
785	1036	282
786	1036	280
787	1037	279
788	1038	277
789	1040	276
790	1041	275
791	1042	273
792	1043	272
793	1044	270
794	1045	269
795	1045	268
796	1046	266
797	1047	265
798	1047	263
799	1048	262
800	1049	260
801	1050	259
802	1050	257
803	1051	256
804	1052	254
805	1053	253
806	1054	252
807	1055	250
808	1056	249
809	1057	247
810	1058	246
811	1059	245
812	1060	243
813	1060	242
814	1061	240
815	1062	239
816	1063	238
817	1063	236
818	1064	235
819	1065	233
820	1066	232
821	1067	231
822	1067	229
823	1068	228
824	1069	226
825	1070	225
826	1071	224
827	1072	222
828	1072	221
829	1073	219
830	1074	218
831	1074	217
832	1075	215
833	1076	214
834	1077	212
835	1078	211
836	1078	210
837	1079	208
838	1080	207
839	1081	205
840	1081	204
841	1082	203
842	1083	201
843	1083	200
844	1084	199
845	1085	197
846	1086	196
847	1087	194
848	1088	193
849	1089	192
850	1089	190
851	1090	189
852	1091	188
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1094	181
858	1095	179
859	1096	178
860	1096	177
861	1097	175
862	1098	174
863	1099	173
864	1100	171
865	1101	170
866	1102	169
867	1103	167
868	1103	166
869	1104	165
870	1105	163
871	1106	162
872	1106	161
873	1107	159
874	1108	158
875	1108	156
876	1109	155
877	1110	154
878	1111	152
879	1112	151
880	1112	150
881	1113	148
882	1115	147
883	1116	146
884	1117	145
885	1118	143
886	1119	142
887	1119	141
888	1120	139
889	1121	138
890	1122	137
891	1122	135
892	1123	134
893	1124	133
894	1125	132
